id,long,lat,name
440,-0.113134,51.483145,"Kennington Oval, Oval"
441,-0.114605,51.495656,"Sail Street, Vauxhall"
442,-0.211358,51.510101,"Walmer Road, Avondale"
443,-0.058641,51.515256,"Philpot Street, Whitechapel"
444,-0.055312,51.52568,"Bethnal Green Garden, Bethnal Green"
445,-0.065076,51.52388,"Cheshire Street, Bethnal Green"
446,-0.055894,51.528936,"York Hall, Bethnal Green"
447,-0.007542,51.493381,"Jubilee Crescent, Cubitt Town"
448,-0.02296,51.50623,"Fisherman's Walk West, Canary Wharf"
449,-0.057159,51.511088,"Shadwell Station, Shadwell"
450,-0.053177,51.515975,"Jubilee Street, Stepney"
451,-0.063531,51.504719,"Hermitage Court, Wapping"
452,-0.070542,51.505697,"St. Katharine's Way, Tower"
453,-0.055167,51.508447,"Garnet Street, Shadwell"
454,-0.021582,51.487679,"Napier Avenue, Millwall"
455,-0.014409,51.49447,"East Ferry Road, Cubitt Town"
456,-0.144664,51.538071,"Parkway, Camden Town"
457,-0.145393,51.542138,"Castlehaven Road, Camden Town"
458,-0.057544,51.504749,"Wapping Lane, Wapping"
459,-0.03338,51.535179,"Gunmakers Lane, Old Ford"
460,-0.029138,51.516196,"Burdett Road, Mile End"
461,-0.038775,51.516,"Aston Street, Stepney"
462,-0.138853,51.541603,"Bonny Street, Camden Town"
463,-0.071881,51.534776,"Thurtle Road, Haggerston"
464,-0.052099,51.51417,"St. Mary & St. Michael Church, Stepney"
465,-0.08249,51.53558,"Pitfield Street North,Hoxton"
466,-0.076341,51.534464,"Whiston Road, Haggerston"
467,-0.030556,51.523538,"Southern Grove, Bow"
468,-0.022694,51.521564,"Cantrell Road, Bow"
469,-0.020467,51.513757,"Lindfield Street, Poplar"
470,-0.025492,51.530535,"Mostyn Grove, Bow"
471,-0.028155,51.533283,"Hewison Street, Old Ford"
472,-0.027616,51.529452,"Malmesbury Road, Bow"
473,-0.019355,51.496137,"Millharbour, Millwall"
474,-0.011457,51.498125,"Castalia Square, Cubitt Town"
475,-0.020157,51.499041,"Lightermans Road, Millwall"
476,-0.009205,51.489096,"Stebondale Street, Cubitt Town"
477,-0.018716,51.49109,"Spindrift Avenue, Millwall"
479,-0.058005,51.527152,"Pott Street, Bethnal Green"
480,-0.0389866,51.5128711,"Flamborough Street, Limehouse"
481,-0.009001,51.487129,"Saunders Ness Road, Cubitt Town"
482,-0.02377,51.509843,"Thornfield House, Poplar"
483,-0.047784,51.51328,"Albert Gardens, Stepney"
